anomaly_type,rows,positive_support,negative_support,prevalence,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,f2,accuracy,balanced_accuracy,false_positive_rate,false_negative_rate,specificity,brier_score,expected_calibration_error_10_bin,pr_auc,roc_auc
continued_deterioration_no_response+missing_interval+legitimate_network_recovery_burst,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06808881043566609,0.26065115076923084,,
continued_deterioration_no_response+out_of_order_ingestion+government_payment_day,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07141488719099445,0.26684187000000004,,
continued_deterioration_no_response+out_of_order_ingestion+remittance_payment_day,11,11,0,1.0,1.0,0,0,0,11,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07456241658429262,0.2722122599999998,,
continued_deterioration_no_response+out_of_order_ingestion+salary_day_surge,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07967007703609644,0.28173504,,
continued_deterioration_no_response+out_of_order_ingestion+university_admission_period,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07065104702120513,0.26546508,,
continued_deterioration_no_response+partial_provider_outage+government_payment_day,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.049671212517050846,0.2225958375,,
continued_deterioration_no_response+partial_provider_outage+local_market_event,26,26,0,1.0,1.0,0,0,0,26,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06250069246941126,0.2497183869230768,,
continued_deterioration_no_response+replayed_transaction_batch+eid_demand_surge,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.08572430860848002,0.29261256,,
continued_deterioration_no_response+replayed_transaction_batch+large_expected_merchant_activity,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06934770381955956,0.2628212676923075,,
continued_deterioration_no_response+schema_error_simulation+legitimate_round_amounts,13,13,0,1.0,0.9230769230769231,0,0,1,12,1.0,0.9230769230769231,0.96,0.9375,0.9230769230769231,0.9230769230769231,,0.07692307692307693,,0.18535893236326234,0.3991593792307692,,
continued_deterioration_no_response+schema_error_simulation+remittance_payment_day,16,16,0,1.0,0.9375,0,0,1,15,1.0,0.9375,0.967741935483871,0.9493670886075949,0.9375,0.9375,,0.0625,,0.17387306749313175,0.3828177749999999,,
continued_deterioration_no_response+schema_error_simulation+salary_day_surge,13,13,0,1.0,0.7692307692307693,0,0,3,10,1.0,0.7692307692307693,0.8695652173913043,0.8064516129032258,0.7692307692307693,0.7692307692307693,,0.23076923076923078,,0.3592622446667069,0.5427955892307692,,
continued_deterioration_no_response+schema_error_simulation+weather_recovery_catchup,29,29,0,1.0,0.896551724137931,0,0,3,26,1.0,0.896551724137931,0.9454545454545454,0.9154929577464789,0.896551724137931,0.896551724137931,,0.10344827586206896,,0.1856641006255452,0.38383483689655173,,
continued_deterioration_no_response+stale_provider_feed+government_payment_day,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0643422895825566,0.25313499000000006,,
continued_deterioration_no_response+stale_provider_feed+legitimate_round_amounts,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06501852125538175,0.25445433692307695,,
continued_deterioration_no_response+stale_provider_feed+remittance_payment_day,31,31,0,1.0,1.0,0,0,0,31,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06798839098917334,0.26037585096774196,,
delayed_ingestion,199,199,0,1.0,0.020100502512562814,0,0,195,4,1.0,0.020100502512562814,0.03940886699507389,0.025,0.020100502512562814,0.020100502512562814,,0.9798994974874372,,0.7847332306536002,0.8845361926130654,,
